"State","District","Crop","Season","Yield-2013-14","Yield-2014-15"
"Odisha","Anugul","Rice","Kharif","1231.00","1867.00"
"Odisha","Anugul","Rice","Rabi","2062.00","2613.00"
"Odisha","Anugul","Rice","Summer","","1000.00"
"Odisha","Anugul","Rice","Total","1923.00","2473.00"
"Odisha","Anugul","Wheat","Summer","","1467.00"
"Odisha","Anugul","Wheat","Total","","1467.00"
"Odisha","Anugul","Maize","Kharif","1018.00","991.00"
"Odisha","Anugul","Maize","Rabi","1805.00","2114.00"
"Odisha","Anugul","Maize","Summer","1669.00","1719.00"
"Odisha","Anugul","Maize","Total","1104.00","1037.00"
"Odisha","Anugul","Ragi","Kharif","","600.00"
"Odisha","Anugul","Ragi","Total","","600.00"
"Odisha","Anugul","Shree Anna /Nutri Cereals","Kharif","","600.00"
"Odisha","Anugul","Shree Anna /Nutri Cereals","Total","","600.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Kharif","1018.00","990.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Rabi","1805.00","2114.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Summer","1669.00","1719.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Total","1104.00","1037.00"
"Odisha","Anugul","Cereals","Kharif","1223.00","1835.00"
"Odisha","Anugul","Cereals","Rabi","2061.00","2613.00"
"Odisha","Anugul","Cereals","Summer","1669.00","1013.00"
"Odisha","Anugul","Cereals","Total","1917.00","2463.00"
"Odisha","Anugul","Urad","Kharif","268.00","279.00"
"Odisha","Anugul","Urad","Rabi","283.00","325.00"
"Odisha","Anugul","Urad","Summer","421.00","412.00"
"Odisha","Anugul","Urad","Total","278.00","302.00"
"Odisha","Anugul","Moong","Kharif","215.00","243.00"
"Odisha","Anugul","Moong","Rabi","262.00","299.00"
"Odisha","Anugul","Moong","Summer","352.00","333.00"
"Odisha","Anugul","Moong","Total","254.00","276.00"
"Odisha","Anugul","Other Pulses","Rabi","335.00","369.00"
"Odisha","Anugul","Other Pulses","Total","335.00","369.00"
"Odisha","Anugul","Total Pulses","Total","289.00","313.00"
"Odisha","Anugul","Total Food Grains","Kharif","1082.00","1596.00"
"Odisha","Anugul","Total Food Grains","Rabi","1957.00","2484.00"
"Odisha","Anugul","Total Food Grains","Summer","450.00","822.00"
"Odisha","Anugul","Total Food Grains","Total","1789.00","2296.00"
"Odisha","Balangir","Rice","Kharif","2101.00","2685.00"
"Odisha","Balangir","Rice","Rabi","3771.00","3369.00"
"Odisha","Balangir","Rice","Summer","3000.00","2333.00"
"Odisha","Balangir","Rice","Total","3191.00","3112.00"
"Odisha","Balangir","Wheat","Summer","2417.00",""
"Odisha","Balangir","Wheat","Total","2417.00",""
"Odisha","Balangir","Maize","Kharif","1994.00","1452.00"
