"State","District","Crop","Season","Yield-2018-19","Yield-2019-20","Yield-2020-21"
"Odisha","Anugul","Rice","Kharif","1939.00","2123.00","2150.00"
"Odisha","Anugul","Rice","Rabi","2747.00","3178.00","3169.00"
"Odisha","Anugul","Rice","Summer","3043.00","3000.00","3063.00"
"Odisha","Anugul","Rice","Total","2667.00","3108.00","3162.00"
"Odisha","Anugul","Maize","Kharif","2314.00","2925.00","2818.00"
"Odisha","Anugul","Maize","Rabi","1650.00","2725.00","2500.00"
"Odisha","Anugul","Maize","Summer","2831.00","2400.00","2808.00"
"Odisha","Anugul","Maize","Total","2399.00","2918.00","2816.00"
"Odisha","Anugul","Ragi","Kharif","1600.00","",""
"Odisha","Anugul","Ragi","Rabi","209.00","",""
"Odisha","Anugul","Ragi","Total","267.00","",""
"Odisha","Anugul","Shree Anna /Nutri Cereals","Kharif","1600.00","",""
"Odisha","Anugul","Shree Anna /Nutri Cereals","Rabi","209.00","",""
"Odisha","Anugul","Shree Anna /Nutri Cereals","Total","267.00","",""
"Odisha","Anugul","Nutri/Coarse Cereals","Kharif","2311.00","2925.00","2818.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Rabi","324.00","2725.00","2500.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Summer","2831.00","2400.00","2808.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Total","2241.00","2918.00","2816.00"
"Odisha","Anugul","Cereals","Kharif","1952.00","2194.00","2478.00"
"Odisha","Anugul","Cereals","Rabi","2746.00","3177.00","3169.00"
"Odisha","Anugul","Cereals","Summer","3004.00","2981.00","3043.00"
"Odisha","Anugul","Cereals","Total","2665.00","3107.00","3160.00"
"Odisha","Anugul","Tur","Kharif","","1035.00",""
"Odisha","Anugul","Tur","Total","","1035.00",""
"Odisha","Anugul","Gram","Rabi","","782.00",""
"Odisha","Anugul","Gram","Total","","782.00",""
"Odisha","Anugul","Urad","Kharif","437.00","408.00","413.00"
"Odisha","Anugul","Urad","Rabi","402.00","395.00","423.00"
"Odisha","Anugul","Urad","Summer","492.00","450.00",""
"Odisha","Anugul","Urad","Total","425.00","404.00","416.00"
"Odisha","Anugul","Moong","Kharif","362.00","362.00","381.00"
"Odisha","Anugul","Moong","Rabi","350.00","371.00","442.00"
"Odisha","Anugul","Moong","Summer","409.00","479.00","347.00"
"Odisha","Anugul","Moong","Total","362.00","369.00","373.00"
"Odisha","Anugul","Other Pulses","Rabi","383.00","681.00","441.00"
"Odisha","Anugul","Other Pulses","Total","383.00","681.00","441.00"
"Odisha","Anugul","Total Pulses","Total","394.00","871.00","397.00"
"Odisha","Anugul","Total Food Grains","Kharif","1626.00","1318.00","1003.00"
"Odisha","Anugul","Total Food Grains","Rabi","2661.00","3012.00","3111.00"
"Odisha","Anugul","Total Food Grains","Summer","2158.00","1243.00","1222.00"
"Odisha","Anugul","Total Food Grains","Total","2530.00","2679.00","2979.00"
"Odisha","Balangir","Rice","Kharif","1356.00","1584.00","1686.00"
"Odisha","Balangir","Rice","Rabi","1440.00","2434.00","2512.00"
"Odisha","Balangir","Rice","Summer","2538.00","3107.00","3353.00"
"Odisha","Balangir","Rice","Total","1414.00","2195.00","2286.00"
"Odisha","Balangir","Maize","Kharif","2898.00","3370.00","3376.00"
"Odisha","Balangir","Maize","Summer","","","2738.00"
"Odisha","Balangir","Maize","Total","2898.00","3370.00","3367.00"
"Odisha","Balangir","Jowar","Kharif","","615.00",""
"Odisha","Balangir","Jowar","Total","","615.00",""
"Odisha","Balangir","Ragi","Kharif","","","186.00"
"Odisha","Balangir","Ragi","Rabi","","133.00",""
"Odisha","Balangir","Ragi","Total","","133.00","186.00"
"Odisha","Balangir","Small Millets","Kharif","","520.00",""
"Odisha","Balangir","Small Millets","Total","","520.00",""
"Odisha","Balangir","Shree Anna /Nutri Cereals","Kharif","","530.00","186.00"
"Odisha","Balangir","Shree Anna /Nutri Cereals","Rabi","","133.00",""
"Odisha","Balangir","Shree Anna /Nutri Cereals","Total","","513.00","186.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Kharif","2898.00","1475.00","3189.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Rabi","","133.00",""
"Odisha","Balangir","Nutri/Coarse Cereals","Summer","","","2738.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Total","2898.00","1434.00","3183.00"
"Odisha","Balangir","Cereals","Kharif","1364.00","1581.00","1705.00"
"Odisha","Balangir","Cereals","Rabi","1440.00","2433.00","2512.00"
"Odisha","Balangir","Cereals","Summer","2538.00","3107.00","3352.00"
"Odisha","Balangir","Cereals","Total","1417.00","2187.00","2290.00"
"Odisha","Balangir","Tur","Kharif","","1199.00",""
"Odisha","Balangir","Tur","Total","","1199.00",""
"Odisha","Balangir","Gram","Rabi","","790.00",""
"Odisha","Balangir","Gram","Total","","790.00",""
"Odisha","Balangir","Urad","Kharif","291.00","280.00","335.00"
"Odisha","Balangir","Urad","Rabi","275.00","263.00","448.00"
"Odisha","Balangir","Urad","Summer","215.00","381.00","475.00"
"Odisha","Balangir","Urad","Total","286.00","288.00","393.00"
"Odisha","Balangir","Moong","Kharif","281.00","299.00","346.00"
"Odisha","Balangir","Moong","Rabi","285.00","300.00","456.00"
"Odisha","Balangir","Moong","Summer","266.00","356.00","549.00"
"Odisha","Balangir","Moong","Total","281.00","318.00","458.00"
"Odisha","Balangir","Lentil","Rabi","","516.00",""
"Odisha","Balangir","Lentil","Total","","516.00",""
"Odisha","Balangir","Other Pulses","Kharif","","735.00",""
"Odisha","Balangir","Other Pulses","Rabi","265.00","598.00","397.00"
"Odisha","Balangir","Other Pulses","Total","265.00","668.00","397.00"
"Odisha","Balangir","Total Pulses","Total","279.00","705.00","431.00"
"Odisha","Balangir","Total Food Grains","Kharif","1305.00","1407.00","1608.00"
"Odisha","Balangir","Total Food Grains","Rabi","1392.00","2268.00","2400.00"
"Odisha","Balangir","Total Food Grains","Summer","1270.00","1627.00","2228.00"
"Odisha","Balangir","Total Food Grains","Total","1361.00","1963.00","2153.00"
"Odisha","Baleshwar","Rice","Rabi","2473.00","2259.00","3049.00"
"Odisha","Baleshwar","Rice","Summer","3492.00","3409.00","3462.00"
"Odisha","Baleshwar","Rice","Total","2652.00","2503.00","3122.00"
"Odisha","Baleshwar","Maize","Summer","","2257.00",""
"Odisha","Baleshwar","Maize","Total","","2257.00",""
"Odisha","Baleshwar","Nutri/Coarse Cereals","Summer","","2257.00",""
"Odisha","Baleshwar","Nutri/Coarse Cereals","Total","","2257.00",""
"Odisha","Baleshwar","Cereals","Rabi","2473.00","2259.00","3049.00"
"Odisha","Baleshwar","Cereals","Summer","3492.00","3408.00","3462.00"
"Odisha","Baleshwar","Cereals","Total","2652.00","2503.00","3122.00"
"Odisha","Baleshwar","Gram","Rabi","","778.00",""
"Odisha","Baleshwar","Gram","Total","","778.00",""
"Odisha","Baleshwar","Urad","Kharif","300.00","",""
"Odisha","Baleshwar","Urad","Rabi","433.00","",""
"Odisha","Baleshwar","Urad","Summer","376.00","384.00","353.00"
"Odisha","Baleshwar","Urad","Total","377.00","384.00","353.00"
"Odisha","Baleshwar","Moong","Rabi","200.00","",""
"Odisha","Baleshwar","Moong","Summer","415.00","358.00","413.00"
"Odisha","Baleshwar","Moong","Total","415.00","358.00","413.00"
"Odisha","Baleshwar","Other Pulses","Rabi","","768.00",""
"Odisha","Baleshwar","Other Pulses","Total","","768.00",""
"Odisha","Baleshwar","Total Pulses","Total","406.00","703.00","403.00"
"Odisha","Baleshwar","Total Food Grains","Kharif","300.00","",""
"Odisha","Baleshwar","Total Food Grains","Rabi","2473.00","2249.00","3049.00"
"Odisha","Baleshwar","Total Food Grains","Summer","3453.00","3393.00","3404.00"
"Odisha","Baleshwar","Total Food Grains","Total","2647.00","2492.00","3112.00"
"Odisha","Bargarh","Rice","Kharif","1293.00","1347.00","1645.00"
"Odisha","Bargarh","Rice","Rabi","1538.00","1870.00","3002.00"
"Odisha","Bargarh","Rice","Summer","3578.00","2530.00","4554.00"
"Odisha","Bargarh","Rice","Total","1966.00","1945.00","3226.00"
"Odisha","Bargarh","Wheat","Summer","1055.00","1402.00","1879.00"
"Odisha","Bargarh","Wheat","Total","1055.00","1402.00","1879.00"
"Odisha","Bargarh","Maize","Kharif","1404.00","1938.00","1861.00"
"Odisha","Bargarh","Maize","Rabi","3629.00","",""
"Odisha","Bargarh","Maize","Summer","2060.00","1400.00","2150.00"
"Odisha","Bargarh","Maize","Total","1631.00","1932.00","1871.00"
"Odisha","Bargarh","Ragi","Rabi","","444.00","854.00"
"Odisha","Bargarh","Ragi","Summer","","","1250.00"
"Odisha","Bargarh","Ragi","Total","","444.00","869.00"
"Odisha","Bargarh","Shree Anna /Nutri Cereals","Rabi","","444.00","854.00"
"Odisha","Bargarh","Shree Anna /Nutri Cereals","Summer","","","1250.00"
"Odisha","Bargarh","Shree Anna /Nutri Cereals","Total","","444.00","869.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Kharif","1404.00","1938.00","1861.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Rabi","3629.00","444.00","854.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Summer","2060.00","1400.00","1700.00"
"Odisha","Bargarh","Nutri/Coarse Cereals","Total","1631.00","1580.00","1392.00"
"Odisha","Bargarh","Cereals","Kharif","1293.00","1348.00","1646.00"
"Odisha","Bargarh","Cereals","Rabi","1538.00","1870.00","3001.00"
"Odisha","Bargarh","Cereals","Summer","3578.00","2529.00","4552.00"
"Odisha","Bargarh","Cereals","Total","1966.00","1945.00","3225.00"
"Odisha","Bargarh","Tur","Kharif","","922.00",""
"Odisha","Bargarh","Tur","Total","","922.00",""
"Odisha","Bargarh","Gram","Rabi","","714.00",""
"Odisha","Bargarh","Gram","Total","","714.00",""
"Odisha","Bargarh","Urad","Kharif","273.00","325.00","309.00"
"Odisha","Bargarh","Urad","Rabi","","250.00","408.00"
"Odisha","Bargarh","Urad","Summer","360.00","286.00","400.00"
"Odisha","Bargarh","Urad","Total","273.00","323.00","310.00"
"Odisha","Bargarh","Moong","Kharif","266.00","325.00","264.00"
"Odisha","Bargarh","Moong","Rabi","318.00","","480.00"
"Odisha","Bargarh","Moong","Summer","351.00","339.00","376.00"
"Odisha","Bargarh","Moong","Total","272.00","327.00","289.00"
"Odisha","Bargarh","Other Pulses","Kharif","","700.00",""
"Odisha","Bargarh","Other Pulses","Rabi","335.00","795.00","313.00"
"Odisha","Bargarh","Other Pulses","Total","335.00","791.00","313.00"
"Odisha","Bargarh","Total Pulses","Total","274.00","543.00","296.00"
"Odisha","Bargarh","Total Food Grains","Kharif","1104.00","1183.00","1522.00"
"Odisha","Bargarh","Total Food Grains","Rabi","1536.00","1844.00","2995.00"
"Odisha","Bargarh","Total Food Grains","Summer","3553.00","2498.00","4516.00"
"Odisha","Bargarh","Total Food Grains","Total","1903.00","1874.00","3171.00"
"Odisha","Bhadrak","Rice","Kharif","","","2150.00"
"Odisha","Bhadrak","Rice","Rabi","1811.00","1782.00","2186.00"
"Odisha","Bhadrak","Rice","Summer","2140.00","2796.00","2849.00"
"Odisha","Bhadrak","Rice","Total","1815.00","1788.00","2202.00"
"Odisha","Bhadrak","Maize","Rabi","1900.00","2400.00",""
"Odisha","Bhadrak","Maize","Summer","1850.00","3050.00","1500.00"
"Odisha","Bhadrak","Maize","Total","1867.00","2833.00","1500.00"
"Odisha","Bhadrak","Nutri/Coarse Cereals","Rabi","1900.00","2400.00",""
"Odisha","Bhadrak","Nutri/Coarse Cereals","Summer","1850.00","3050.00","1500.00"
"Odisha","Bhadrak","Nutri/Coarse Cereals","Total","1867.00","2833.00","1500.00"
"Odisha","Bhadrak","Cereals","Kharif","","","2150.00"
"Odisha","Bhadrak","Cereals","Rabi","1811.00","1782.00","2186.00"
"Odisha","Bhadrak","Cereals","Summer","2140.00","2796.00","2848.00"
"Odisha","Bhadrak","Cereals","Total","1815.00","1788.00","2202.00"
"Odisha","Bhadrak","Urad","Kharif","300.00","",""
"Odisha","Bhadrak","Urad","Rabi","536.00","596.00","490.00"
"Odisha","Bhadrak","Urad","Summer","475.00","490.00","284.00"
"Odisha","Bhadrak","Urad","Total","484.00","505.00","308.00"
"Odisha","Bhadrak","Moong","Summer","511.00","547.00","318.00"
"Odisha","Bhadrak","Moong","Total","511.00","547.00","318.00"
"Odisha","Bhadrak","Other Pulses","Rabi","900.00","809.00","300.00"
"Odisha","Bhadrak","Other Pulses","Summer","","","300.00"
"Odisha","Bhadrak","Other Pulses","Total","900.00","809.00","300.00"
"Odisha","Bhadrak","Total Pulses","Total","503.00","584.00","316.00"
"Odisha","Bhadrak","Total Food Grains","Kharif","300.00","","2150.00"
"Odisha","Bhadrak","Total Food Grains","Rabi","1811.00","1780.00","2185.00"
"Odisha","Bhadrak","Total Food Grains","Summer","1571.00","1447.00","1879.00"
"Odisha","Bhadrak","Total Food Grains","Total","1806.00","1775.00","2173.00"
"Odisha","Boudh","Rice","Kharif","2014.00","2027.00","2770.00"
