"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"701","1958","8","Orissa","Balasore","24.92","52.51","9.56","24.76","35.0","121.88","295.98","274.63","296.35","203.11","61.76","0.11"
"701","1959","8","Orissa","Balasore","31.05","13.56","9.63","56.36","129.79","209.62","243.82","346.66","377.21","400.87","0.0","2.53"
"701","1960","8","Orissa","Balasore","0.19","0.0","37.29","3.6","62.78","174.66","437.55","297.26","285.55","133.25","5.64","2.17"
"701","1961","8","Orissa","Balasore","42.38","70.67","4.76","7.59","123.03","253.91","216.69","398.58","408.48","157.17","0.25","0.01"
"701","1962","8","Orissa","Balasore","109.57","77.63","55.94","44.3","36.83","109.59","213.47","235.6","241.04","241.04","188.47","142.82"
"701","1963","8","Orissa","Balasore","0.11","0.34","19.26","63.39","121.81","239.53","243.25","288.16","379.14","282.7","14.52","0.06"
"701","1964","8","Orissa","Balasore","1.18","22.07","13.79","70.03","104.54","115.77","444.02","294.67","247.96","168.32","26.85","0.06"
"701","1965","8","Orissa","Balasore","7.61","24.07","40.03","42.74","43.13","192.63","300.01","351.81","336.25","148.5","0.28","2.28"
"701","1966","8","Orissa","Balasore","125.8","88.18","61.06","47.37","38.91","152.45","208.02","241.0","241.04","240.91","225.31","173.84"
"701","1967","8","Orissa","Balasore","53.87","0.76","58.87","74.83","33.59","210.44","301.12","319.21","335.24","91.19","0.75","1.09"
"701","1968","8","Orissa","Balasore","18.16","41.37","39.51","13.04","21.36","405.04","353.87","291.52","246.45","324.09","64.5","0.09"
"701","1969","8","Orissa","Balasore","9.63","1.52","35.8","41.63","71.23","127.68","290.44","412.77","362.5","98.94","50.66","1.03"
"701","1970","8","Orissa","Balasore","121.74","92.45","68.59","51.54","41.6","239.38","241.04","241.04","241.04","241.04","192.43","146.18"
"701","1971","8","Orissa","Balasore","119.83","97.01","64.72","50.54","41.8","241.04","241.04","241.04","241.04","241.04","199.94","153.91"
"701","1972","8","Orissa","Balasore","114.44","91.13","62.15","47.96","39.29","34.01","103.75","241.04","241.04","231.77","177.52","132.45"
"701","1973","8","Orissa","Balasore","93.26","64.61","49.34","40.16","36.11","50.61","197.08","241.04","241.04","241.04","206.78","173.88"
"701","1974","8","Orissa","Balasore","0.65","0.01","120.72","15.6","82.42","128.57","278.44","335.52","337.99","285.02","14.34","0.1"
"701","1975","8","Orissa","Balasore","7.5","23.57","15.3","14.21","52.25","259.58","305.6","323.49","248.41","235.99","49.66","0.0"
"701","1976","8","Orissa","Balasore","0.0","38.13","16.29","39.11","116.75","124.71","332.8","446.07","223.35","66.59","32.11","0.19"
"701","1977","8","Orissa","Balasore","4.43","33.03","0.54","57.61","147.14","298.04","413.25","310.43","291.71","95.89","55.48","13.13"
"701","1978","8","Orissa","Balasore","0.65","16.77","57.31","46.34","117.47","155.21","284.08","275.8","532.8","218.64","22.0","21.7"
"701","1979","8","Orissa","Balasore","0.65","29.83","6.23","67.55","29.65","149.38","264.56","260.94","227.46","104.98","1.88","14.93"
"701","1980","8","Orissa","Balasore","33.71","75.02","61.94","23.52","87.51","336.99","319.71","283.18","315.56","155.64","0.0","5.1"
"701","1981","8","Orissa","Balasore","21.89","53.92","82.94","105.96","194.17","141.67","311.04","274.95","377.62","12.51","0.0","28.39"
"701","1982","8","Orissa","Balasore","0.76","53.71","67.5","49.51","38.95","206.93","148.2","409.79","213.22","22.06","32.29","0.31"
