"Dist Code","Year","State Code","State Name","Dist Name","JANUARY WATER DEFICIT (Millimeters)","FEBRUARY WATER DEFICIT (Millimeters)","MARCH WATER DEFICIT (Millimeters)","APRIL WATER DEFICIT (Millimeters)","MAY WATER DEFICIT (Millimeters)","JUNE WATER DEFICIT (Millimeters)","JULY WATER DEFICIT (Millimeters)","AUGUST WATER DEFICIT (Millimeters)","OCTOBER WATER DEFICIT (Millimeters)","NOVEMBER WATER DEFICIT (Millimeters)","DECEMBER WATER DEFICIT (Millimeters)"
"701","1958","8","Orissa","Balasore","35.74","35.01","105.91","147.2","153.52","25.08","0.0","0.0","0.0","0.0","15.34"
"701","1959","8","Orissa","Balasore","28.73","51.6","112.64","98.62","54.29","0.0","0.0","0.0","0.0","0.0","31.04"
"701","1960","8","Orissa","Balasore","47.93","77.8","87.74","160.9","116.05","0.17","0.0","0.0","0.0","0.03","30.16"
"701","1961","8","Orissa","Balasore","26.37","19.24","118.7","149.87","48.5","0.0","0.0","0.0","0.0","0.0","31.98"
"701","1962","8","Orissa","Balasore","41.17","56.21","91.14","85.73","131.47","0.0","0.0","0.0","0.0","0.0","30.59"
"701","1963","8","Orissa","Balasore","49.02","77.7","118.2","94.5","43.17","0.0","0.0","0.0","0.0","0.0","26.61"
"701","1964","8","Orissa","Balasore","1.18","22.07","13.79","70.03","104.54","115.77","444.02","294.67","247.96","168.32","26.85"
"701","1965","8","Orissa","Balasore","7.61","24.07","40.03","42.74","43.13","192.63","300.01","351.81","336.25","148.5","0.28"
"701","1966","8","Orissa","Balasore","69.94","14.99","3.77","13.79","21.43","266.77","206.6","245.31","257.46","119.46","70.17"
"701","1967","8","Orissa","Balasore","53.87","0.76","58.87","74.83","33.59","210.44","301.12","319.21","335.24","91.19","0.75"
"701","1968","8","Orissa","Balasore","18.16","41.37","39.51","13.04","21.36","405.04","353.87","291.52","246.45","324.09","64.5"
"701","1969","8","Orissa","Balasore","39.95","64.22","101.68","127.78","96.69","14.57","0.0","0.0","0.0","3.02","16.29"
"701","1970","8","Orissa","Balasore","41.18","44.68","50.88","137.75","87.06","0.0","0.0","0.0","0.0","0.0","28.29"
"701","1971","8","Orissa","Balasore","31.92","35.36","121.99","50.14","42.84","0.0","0.0","0.0","0.0","0.0","23.93"
"701","1972","8","Orissa","Balasore","44.59","38.81","127.98","149.38","170.85","32.16","0.0","0.0","0.0","5.4","33.53"
"701","1973","8","Orissa","Balasore","53.97","79.3","72.81","157.08","27.99","2.4","0.0","0.0","0.0","0.0","19.94"
"701","1974","8","Orissa","Balasore","41.16","62.96","28.5","139.69","86.73","16.65","0.0","0.0","0.0","0.0","30.9"
"701","1975","8","Orissa","Balasore","45.04","54.24","115.49","158.07","129.51","0.0","0.0","0.0","0.0","0.0","18.14"
"701","1976","8","Orissa","Balasore","43.76","44.27","112.55","121.99","54.37","18.91","0.0","0.0","0.0","17.3","25.7"
"701","1977","8","Orissa","Balasore","49.64","50.63","150.85","107.16","21.11","0.0","0.0","0.0","0.0","4.7","14.04"
"701","1978","8","Orissa","Balasore","43.08","48.39","57.95","102.54","51.88","0.31","0.0","0.0","0.0","0.0","26.53"
"701","1979","8","Orissa","Balasore","30.75","40.97","115.87","90.2","146.28","2.33","0.0","0.0","0.0","3.17","34.06"
"701","1980","8","Orissa","Balasore","32.81","23.31","57.87","141.13","85.29","0.0","0.0","0.0","0.0","0.0","32.66"
"701","1981","8","Orissa","Balasore","39.09","30.26","43.34","39.78","0.0","2.38","0.0","0.0","0.0","33.97","45.0"
"701","1982","8","Orissa","Balasore","53.19","34.5","54.14","114.56","139.04","0.0","0.55","0.0","0.0","30.83","25.24"
"701","1983","8","Orissa","Balasore","45.18","10.25","80.55","100.71","25.88","0.0","0.0","0.0","0.0","0.0","35.37"
"701","1984","8","Orissa","Balasore","29.56","58.69","133.9","129.31","114.89","0.0","0.0","0.0","0.0","3.94","33.85"
"701","1985","8","Orissa","Balasore","39.3","47.69","133.51","141.3","109.1","0.0","0.0","0.0","0.0","0.0","32.21"
