DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
ANGUL,1901,61.0,73.0,33.4,44.8,126.9,55.4,345.2,311.1,213.0,53.1,15.5,0.0,1332.3,134.0,205.0,924.7,68.6
ANGUL,1902,0.0,0.3,7.6,84.4,76.4,108.1,643.3,304.0,130.7,8.0,0.0,34.6,1397.5,0.3,168.4,1186.2,42.7
ANGUL,1903,4.7,32.2,5.8,16.8,73.6,175.7,354.1,343.3,201.0,174.9,8.9,0.0,1391.1,36.9,96.2,1074.1,183.9
ANGUL,1904,0.0,12.5,20.8,4.1,45.5,390.1,401.8,393.5,199.2,69.7,0.0,0.1,1537.3,12.5,70.4,1384.6,69.8
ANGUL,1905,80.6,11.3,50.3,25.8,120.5,78.7,342.6,165.8,214.1,10.1,1.2,0.0,1101.0,91.9,196.6,801.2,11.3
ANGUL,1906,44.9,103.8,47.2,0.6,51.4,109.0,374.7,238.6,247.3,42.4,20.2,7.7,1287.7,148.7,99.1,969.6,70.3
ANGUL,1907,0.0,34.3,102.7,85.3,26.2,217.8,191.1,522.2,197.8,0.5,0.8,38.9,1417.6,34.3,214.2,1129.0,40.1
ANGUL,1908,15.0,0.0,9.0,4.8,83.4,269.8,356.3,531.3,179.4,13.1,0.0,0.0,1462.1,15.0,97.2,1336.8,13.1
ANGUL,1909,0.4,22.1,7.3,178.0,38.4,343.2,378.6,229.7,163.2,14.4,0.0,28.0,1403.3,22.5,223.7,1114.7,42.5
ANGUL,1910,16.1,0.0,8.3,43.1,59.8,265.0,326.2,296.3,204.5,234.2,0.0,0.0,1453.5,16.1,111.2,1092.0,234.2
ANGUL,1911,0.0,4.2,48.0,17.7,53.3,469.5,193.9,310.4,211.4,67.8,2.7,0.9,1379.8,4.2,119.0,1185.2,71.4
ANGUL,1912,0.1,97.3,8.3,38.7,37.5,114.8,348.2,353.6,157.4,59.0,84.7,0.0,1299.5,97.3,84.4,974.1,143.6
ANGUL,1913,1.2,100.5,6.6,15.3,87.2,299.8,514.7,308.0,171.9,101.8,15.8,0.2,1622.9,101.6,109.0,1294.4,117.8
ANGUL,1914,0.0,39.9,8.7,34.7,147.9,154.9,385.3,298.9,267.0,7.6,0.0,12.0,1356.8,39.9,191.2,1106.0,19.6
ANGUL,1915,18.4,28.7,16.2,34.9,36.9,169.5,290.4,269.6,253.0,159.3,119.0,0.0,1395.9,47.1,88.0,982.5,278.3
ANGUL,1916,0.0,3.8,0.0,22.4,57.7,417.0,232.5,316.8,144.6,177.0,61.9,0.0,1433.7,3.8,80.1,1110.9,238.9
ANGUL,1917,0.0,74.6,41.7,10.0,107.9,368.8,352.2,325.7,236.6,300.7,0.7,0.0,1818.9,74.6,159.6,1283.3,301.4
ANGUL,1918,3.9,0.2,16.3,21.9,117.5,315.4,149.4,294.8,148.8,0.1,1.1,1.3,1070.8,4.0,155.8,908.5,2.5
ANGUL,1919,62.6,39.0,16.0,20.2,54.4,348.7,375.7,478.4,126.7,78.0,57.6,0.0,1657.2,101.6,90.6,1329.5,135.6
ANGUL,1920,0.0,20.0,60.8,25.3,47.9,141.7,681.2,287.0,251.9,36.2,0.0,0.0,1551.8,20.0,133.9,1361.7,36.2
ANGUL,1921,62.6,1.9,1.9,10.7,12.8,272.0,368.6,260.0,370.3,48.4,0.0,0.0,1409.3,64.5,25.4,1271.0,48.4
ANGUL,1922,23.6,0.0,7.1,16.0,59.4,235.9,580.9,233.5,286.8,30.9,7.4,1.1,1482.7,23.6,82.6,1337.1,39.4
ANGUL,1923,0.0,49.7,9.2,15.8,41.3,110.5,320.7,280.0,164.3,75.0,25.9,0.6,1093.0,49.7,66.3,875.5,101.5
ANGUL,1924,44.1,8.1,0.6,9.5,112.0,115.2,246.4,285.7,175.0,91.3,79.2,0.0,1167.1,52.2,122.0,822.3,170.5
ANGUL,1925,4.5,0.0,5.1,82.1,65.5,453.1,490.3,352.9,238.8,168.1,3.6,13.4,1877.4,4.5,152.8,1535.1,185.1
ANGUL,1926,21.7,12.7,90.5,19.0,49.5,46.4,280.3,645.1,290.0,105.0,0.0,3.6,1563.7,34.4,158.9,1261.8,108.6
ANGUL,1927,2.4,21.6,4.5,26.4,49.7,182.6,484.9,404.4,166.0,85.0,6.6,0.0,1434.1,24.1,80.6,1237.8,91.6
ANGUL,1928,7.2,9.8,4.2,96.1,87.8,319.9,472.8,298.4,215.7,111.6,0.0,0.1,1623.4,17.0,188.1,1306.7,111.7
ANGUL,1929,23.6,8.1,4.9,25.0,24.2,115.5,661.3,415.8,173.9,171.0,0.0,17.6,1640.9,31.7,54.1,1366.4,188.6
ANGUL,1930,0.0,2.4,10.7,6.8,78.6,182.8,305.7,358.2,247.3,15.9,122.4,4.0,1334.8,2.4,96.1,1094.0,142.3
ANGUL,1931,4.8,46.3,32.2,8.5,40.3,104.8,237.2,657.9,169.4,162.2,84.0,0.6,1548.2,51.1,81.0,1169.3,246.8
ANGUL,1932,0.0,60.3,20.8,17.8,38.8,117.3,503.0,274.6,274.3,44.0,94.8,0.0,1445.7,60.3,77.4,1169.3,138.8
ANGUL,1933,19.2,83.4,4.3,15.0,154.5,289.2,420.3,352.1,256.3,115.4,21.7,20.5,1751.8,102.6,173.7,1317.9,157.6
ANGUL,1934,0.1,4.3,2.0,1.9,19.2,227.0,317.6,475.0,259.6,104.5,1.8,3.8,1416.9,4.4,23.1,1279.3,110.1
ANGUL,1935,0.3,16.3,14.5,30.4,16.9,131.8,482.5,212.0,225.5,2.2,0.0,0.6,1132.9,16.6,61.8,1051.8,2.8
ANGUL,1936,8.7,23.5,2.8,3.7,119.3,538.8,318.1,320.3,191.7,179.4,2.7,8.5,1717.6,32.2,125.9,1368.9,190.6
ANGUL,1937,0.0,89.0,35.0,48.4,74.5,258.2,433.8,174.3,304.4,37.9,0.9,0.1,1456.5,89.0,157.9,1170.8,38.9
ANGUL,1938,2.7,12.2,2.7,2.1,152.1,203.1,216.5,358.5,197.4,102.8,7.1,0.0,1257.2,14.9,156.9,975.4,109.9
ANGUL,1939,8.3,14.7,28.4,15.2,27.9,197.8,419.7,437.2,257.9,189.7,59.2,1.3,1657.3,22.9,71.5,1312.7,250.2
ANGUL,1940,0.0,54.7,83.1,17.0,137.9,312.4,583.1,322.0,114.6,58.5,0.4,13.3,1697.1,54.7,238.0,1332.1,72.2
ANGUL,1941,53.8,0.0,4.6,16.2,54.0,245.4,490.7,303.3,134.1,106.7,38.1,0.8,1447.7,53.8,74.9,1173.5,145.6
ANGUL,1942,3.2,14.4,0.1,38.9,21.4,116.1,434.4,409.2,239.1,28.5,47.3,0.0,1352.6,17.7,60.4,1198.8,75.7
ANGUL,1943,63.2,2.1,7.9,74.5,35.2,140.3,494.5,388.2,326.0,54.2,0.7,0.0,1586.9,65.4,117.6,1349.0,54.9
ANGUL,1944,40.2,127.9,43.3,39.9,23.9,122.9,553.4,343.0,130.4,109.2,1.8,0.0,1536.0,168.1,107.2,1149.7,111.0
ANGUL,1945,20.8,10.9,0.0,35.8,44.7,106.8,388.0,186.3,329.8,164.1,0.2,0.0,1287.4,31.6,80.5,1011.0,164.3
ANGUL,1946,0.0,0.0,6.8,77.0,43.9,236.1,341.7,219.5,254.7,110.2,23.9,0.0,1313.8,0.0,127.7,1052.0,134.1
ANGUL,1947,24.7,25.3,18.9,4.8,24.0,139.6,310.9,309.2,101.7,124.5,0.0,32.9,1116.4,50.0,47.6,861.5,157.4
ANGUL,1948,11.0,29.0,8.7,40.6,76.6,180.0,291.6,262.3,222.2,41.3,57.9,0.1,1221.1,40.0,125.8,956.0,99.4
ANGUL,1949,2.0,1.4,2.3,32.6,83.3,142.1,214.3,211.8,242.0,187.4,0.0,0.0,1119.2,3.3,118.2,810.2,187.4
ANGUL,1950,0.0,34.4,92.0,0.0,39.2,98.6,217.5,374.9,179.9,40.7,67.7,0.0,1144.8,34.4,131.2,870.8,108.4
ANGUL,1951,0.0,79.4,37.9,23.8,68.0,342.7,222.4,96.7,133.9,51.3,0.0,141.1,729.8,185.2
ANGUL,1952,0.0,2.7,36.2,51.8,69.1,233.1,269.0,439.2,197.7,160.3,0.0,0.0,1459.0,2.7,157.0,1139.0,160.3
ANGUL,1953,51.3,3.3,0.0,0.0,13.0,126.7,260.2,519.0,202.1,7.6,11.6,0.0,1194.8,54.6,13.0,1108.0,19.2
ANGUL,1954,0.0,7.7,2.0,37.4,26.2,245.8,247.0,174.3,249.9,60.3,0.0,12.5,1063.2,7.7,65.7,916.9,72.9
ANGUL,1955,0.0,0.0,8.2,5.8,29.4,219.3,164.8,403.5,460.9,270.6,26.8,0.0,1589.2,0.0,43.3,1248.5,297.4
ANGUL,1956,0.0,80.2,65.9,10.6,111.9,417.4,423.4,422.4,317.9,214.1,14.2,0.0,2078.0,80.2,188.4,1581.1,228.3
