"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"701","1958","8","Orissa","Balasore","15.07","17.43","20.73","25.19","27.42","27.31","26.17","25.88","25.41","24.08","18.35","15.05"
"701","1959","8","Orissa","Balasore","14.4","16.02","20.47","25.01","26.6","26.18","25.98","25.82","25.06","23.59","16.55","13.85"
"701","1960","8","Orissa","Balasore","13.12","17.27","19.91","25.27","27.23","26.7","25.61","26.35","25.76","23.14","16.21","13.57"
"701","1961","8","Orissa","Balasore","14.46","15.65","23.08","25.23","26.66","25.6","25.67","26.14","25.41","22.93","16.05","11.44"
"701","1962","8","Orissa","Balasore","11.78","16.51","19.84","24.53","25.95","25.97","26.36","25.8","25.66","22.79","16.28","13.46"
"701","1963","8","Orissa","Balasore","12.32","17.21","20.28","23.29","25.08","25.78","26.11","26.16","25.58","23.26","17.51","14.48"
"701","1964","8","Orissa","Balasore","13.98","17.72","22.32","24.73","25.96","26.33","25.05","26.07","25.73","24.05","18.08","14.4"
"701","1965","8","Orissa","Balasore","14.49","16.55","19.23","24.29","26.86","26.58","25.7","25.36","25.33","22.98","17.45","14.63"
"701","1966","8","Orissa","Balasore","14.32","17.9","20.88","25.11","27.24","26.07","26.01","25.71","25.06","21.98","18.32","13.62"
"701","1967","8","Orissa","Balasore","14.83","17.41","20.51","22.58","26.3","26.3","25.98","25.65","25.27","22.41","15.37","14.74"
"701","1968","8","Orissa","Balasore","13.67","15.91","20.94","24.06","26.45","25.03","25.91","25.72","26.04","22.71","17.71","14.34"
"701","1969","8","Orissa","Balasore","12.85","17.63","22.23","24.66","25.89","26.49","26.01","25.25","25.58","22.91","17.78","14.04"
"701","1970","8","Orissa","Balasore","14.21","17.09","21.86","25.23","26.91","25.42","25.53","25.97","25.55","23.21","17.22","12.94"
"701","1971","8","Orissa","Balasore","14.49","16.09","19.59","22.95","24.71","24.91","25.19","25.03","25.42","23.27","16.54","13.37"
"701","1972","8","Orissa","Balasore","13.42","14.87","21.2","24.12","27.34","26.27","25.93","25.23","25.19","22.41","17.2","13.28"
"701","1973","8","Orissa","Balasore","14.01","17.95","19.89","25.34","25.07","25.28","25.96","25.63","25.44","23.66","18.4","14.45"
"701","1974","8","Orissa","Balasore","13.03","15.46","21.29","24.75","25.85","25.78","25.33","25.88","25.09","24.08","18.83","12.66"
"701","1975","8","Orissa","Balasore","13.51","16.95","21.23","24.76","26.02","25.96","25.2","25.7","25.2","24.09","17.38","12.42"
"701","1976","8","Orissa","Balasore","13.62","17.92","22.1","24.31","25.39","25.61","25.59","25.21","25.04","23.13","19.48","13.35"
"701","1977","8","Orissa","Balasore","13.41","16.4","22.65","24.1","24.42","25.32","25.93","26.13","25.7","22.8","19.41","13.78"
"701","1978","8","Orissa","Balasore","12.79","16.68","19.69","23.47","25.66","25.53","25.47","26.19","25.56","23.93","18.96","14.37"
"701","1979","8","Orissa","Balasore","14.95","16.62","20.7","24.62","26.95","26.72","26.36","26.13","25.76","23.55","20.47","15.67"
"701","1980","8","Orissa","Balasore","14.79","17.85","21.96","26.04","25.37","26.32","26.12","26.2","26.08","23.28","17.5","15.16"
"701","1981","8","Orissa","Balasore","14.79","17.84","21.0","23.21","25.09","26.46","25.98","26.36","25.64","23.06","17.03","14.36"
"701","1982","8","Orissa","Balasore","14.65","17.88","20.32","23.98","26.8","25.75","26.78","25.75","25.68","23.02","17.48","13.34"
"701","1983","8","Orissa","Balasore","13.86","17.27","21.95","23.8","25.28","26.62","26.43","26.2","26.0","23.65","18.03","13.65"
"701","1984","8","Orissa","Balasore","13.97","16.36","20.55","24.71","26.65","25.25","25.62","25.8","25.05","23.88","16.44","13.97"
"701","1985","8","Orissa","Balasore","15.28","16.78","23.01","25.43","25.34","26.24","25.23","26.0","25.42","23.06","17.27","14.83"
"701","1986","8","Orissa","Balasore","14.71","17.15","20.97","23.95","24.82","26.35","25.24","25.76","24.9","22.56","19.08","15.64"
"701","1987","8","Orissa","Balasore","14.31","17.81","21.23","24.46","26.0","27.0","25.86","25.83","25.85","23.73","19.27","15.47"
"701","1988","8","Orissa","Balasore","14.72","17.95","21.71","25.1","26.95","25.64","26.21","26.49","26.02","23.74","18.75","16.68"
"701","1989","8","Orissa","Balasore","13.1","17.58","20.9","25.51","26.84","25.57","25.98","26.16","25.84","24.13","18.21","13.91"
"701","1990","8","Orissa","Balasore","14.66","18.7","21.2","24.76","25.76","26.35","25.62","26.29","26.12","23.07","19.6","15.04"
"701","1991","8","Orissa","Balasore","14.59","19.05","22.87","24.98","26.8","25.4","26.31","26.04","25.31","23.54","17.48","13.83"
"701","1992","8","Orissa","Balasore","13.68","16.91","21.68","24.88","25.49","25.95","25.82","25.73","25.25","23.03","17.79","13.12"
