# Annexure 1. Details of block-wise soil sampling done across 30 districts in Odisha.
District,Block,Number of villages chosen for sampling,Number of soil samples collected
Angul,Angul,15,150
Angul,Athamallik,15,130
Angul,Banarpal,9,90
Angul,Chendipada,10,100
Angul,Kanhia,15,150
Angul,Kishorenagar,15,150
Angul,Pallahara,15,150
Angul,Talcher,10,100
##Total,8,104,1020
Baleswar,Bahanoga,10,100
Baleswar,Baleswar,15,150
Baleswar,Baliapal,15,150
Baleswar,Basta,10,100
Baleswar,Bhogarai,16,160
Baleswar,Jaleswar,15,150
Baleswar,Khaira,20,200
Baleswar,Nilagiri,10,100
Baleswar,Oupada,10,100
Baleswar,Remuna,15,140
Baleswar,Simulia,10,100
Baleswar,Soro,10,100
##Total,12,156,1550
Bargarh,Ambabhona,16,160
Bargarh,Atabira,15,150
Bargarh,Bargarh,10,90
Bargarh,Barpali,10,100
Bargarh,Bhatli,10,100
Bargarh,Bheden,10,100
Bargarh,Bijejur,15,150
Bargarh,Gaisilat,10,100
Bargarh,Jharbandh,10,100
Bargarh,Padmapur,20,200
Bargarh,Paikamal,15,150
Bargarh,Sohella,15,150
##Total,12,156,1550

# Annexure 1. Details of block-wise soil sampling done across 30 districts in Odisha.
District,Block,"Number of villages chosen for sampling","Number of soil samples collected"
Bhadrak,Basudevpur,15,150
Bhadrak,Bhadrak,10,100
Bhadrak,Bhandaripokhari,12,120
Bhadrak,Bonth,15,150
Bhadrak,Chandabali,15,150
Bhadrak,Dhamanagar,12,120
Bhadrak,Tihidi,12,120
#Total,7,91,910
Balangir,Agalapur,10,100
Balangir,Bangamunda,15,150
Balangir,Belapada,10,100
Balangir,Balangir,12,120
Balangir,Deogam,15,149
Balangir,Gudvella,10,100
Balangir,Kaprakhole,15,150
Balangir,Luisinga,10,100
Balangir,Muribahal,15,150
Balangir,Patnagarh,15,150
Balangir,Puintala,15,150
Balangir,Saintala,15,150
Balangir,Titilagarh,15,150
Balangir,Turekela,10,100
#Total,14,182,1819
Boudh,Boudh,14,130
Boudh,arbhanga,10,90
Boudh,Kantamal,15,150
#Total,3,39,370
Cuttack,Athagarh,20,200
Cuttack,Banki,12,120
Cuttack,Banki-Dampada,10,100
Cuttack,Baramba,5,50
Cuttack,Baranga,8,80
Cuttack,Choudwar,16,160
Cuttack,"Cuttack Sadar",10,100
Cuttack,Kantapada,10,100
Cuttack,Mahanga,20,200
Cuttack,Narasinghpur,20,200
Cuttack,Niali,10,100
Cuttack,Nischantakoili,20,200
Cuttack,Salepur,16,160
Cuttack,Tigiria,5,50
#Total,14,182,1820
Deogarh,Barkote,9,90
Deogarh,Reamal,20,200
Deogarh,Tileibani,10,100
#Total,3,39,390
Dhenkanal,Bhuban,10,100
Dhenkanal,"Dhenkanal (Sadar)",15,150
Dhenkanal,Gondia,15,150
Dhenkanal,Hindol,15,150
Dhenkanal,Kamakhyanagar,10,100
Dhenkanal,Kankadahad,14,140
Dhenkanal,Odapada,10,100
Dhenkanal,Parjang,15,140
#Total,8,104,1030
Gajapati,Gumma,15,150
Gajapati,Kasinagar,10,80
Gajapati,Mohana,20,190
Gajapati,Nuagada,12,159
Gajapati,Paralakhemundi,10,100
Gajapati,Udayagiri,12,140
Gajapati,"R. Rayagada",12,120
#Total,7,91,939
Ganjam,Aska,10,100
Ganjam,Beguniapada,15,150
Ganjam,Belguntha,10,80
Ganjam,Bhanjanagar,15,150
Ganjam,Buguda,10,100
Ganjam,Chatrapur,10,100
Ganjam,Chikiti,10,100
Ganjam,Dharakote,16,160
Ganjam,Digipahandi,20,200
Ganjam,Ganjam,10,100
Ganjam,Hinjilikatu,5,50
Ganjam,"Jagannath Prasad",25,250
Ganjam,Kabisuryanagar,5,50
Ganjam,Khallikote,10,100
Ganjam,Kukudakhandi,10,100
Ganjam,Patrapur,25,250
Ganjam,Polsara,10,100
Ganjam,Purusottampur,10,100
Ganjam,Rangeilunda,10,100
Ganjam,Sanakhemundi,10,100
Ganjam,Sheragada,10,100
Ganjam,Sorada,30,270
#Total,22,286,2810
Jagatsinghpur,Balikuda,20,200
Jagatsinghpur,Biridi,8,80
Jagatsinghpur,Ersama,15,150
Jagatsinghpur,Jagatsinghpur,15,150
Jagatsinghpur,Kujang,10,100
Jagatsinghpur,Naugaon,8,80
Jagatsinghpur,Raghunathpur,8,80
Jagatsinghpur,Tirtol,20,200
#Total,8,104,1040
Jajpur,Barchana,15,150
Jajpur,Bari,10,100
Jajpur,Binjharpur,10,100
Jajpur,Dangadi,10,100
Jajpur,Dasarathpur,15,150
Jajpur,Dharmasala,15,150
Jajpur,Jajpur,15,150
Jajpur,Korei,15,150
Jajpur,Rasulpur,15,150
Jajpur,Sukinda,10,100
#Total,10,130,1300
Jharsuguda,Jharsuguda,15,150
Jharsuguda,Kirmira,10,100
Jharsuguda,Kolabira,10,100
Jharsuguda,Laikera,10,100
Jharsuguda,Lakhanpur,20,200
#Total,5,65,650
Kalahandi,Bhawanipatna,20,200
Kalahandi,Dharmagarh,10,100
Kalahandi,Golamunda,10,100
Kalahandi,Jaipatna,8,80
Kalahandi,Junagarh,15,150
Kalahandi,Kalampur,5,50
Kalahandi,Karlamunda,6,60
Kalahandi,Kesinga,10,90
Kalahandi,Koksara,7,70
Kalahandi,Lanjigarh,25,240
Kalahandi,"Madanpur Rampur",25,250
Kalahandi,Narla,10,100
Kalahandi,"Thuamul Rampur",18,180
#Total,13,169,1670
Kandhamal,Balliguda,15,149
Kandhamal,Chakapad,10,100
Kandhamal,Daringbadi,15,140
Kandhamal,G.Udayagiri,10,100
Kandhamal,K.Nuagaon,10,100
Kandhamal,Khajuripada,15,150
Kandhamal,Kotgarh,10,100
Kandhamal,Phiringia,20,199
Kandhamal,Phulbani,15,150
Kandhamal,Raikia,11,110
Kandhamal,Tikabali,10,106
Kandhamal,Tumudibandh,15,150
#Total,12,156,1554
Kendrapara,Aul,10,100
Kendrapara,Derabish,15,140
Kendrapara,Garadpur,10,100
Kendrapara,Kendrapara,10,100
Kendrapara,Mahakalapara,20,200
Kendrapara,Marsaghai,10,100
Kendrapara,Pattamundai,10,100
Kendrapara,Rajkanika,10,90
Kendrapara,Rajnagar,22,220
#Total,9,117,1150
Kendujhar,Anandapur,12,120
Kendujhar,Bansalpal,15,150
Kendujhar,Champua,12,120
Kendujhar,Ghasipura,12,120
Kendujhar,Ghatgaon,11,110
Kendujhar,Harichandanpur,20,200
Kendujhar,Hatadihi,15,150
Kendujhar,Jhumpura,12,120
Kendujhar,Joda,10,50
Kendujhar,"Kendujhar (Sadar)",20,100
Kendujhar,Patna,10,100
Kendujhar,Saharapada,10,100
Kendujhar,Telkoi,10,100
#Total,13,169,1540
Khorda,Balianta,10,100
Khorda,Balipatna,12,120
Khorda,Banapur,15,150
Khorda,Begunia,15,150
Khorda,Bhubaneswar,10,100
Khorda,Bolagad,20,200
Khorda,Chilika,13,130
Khorda,Jatni,10,100
Khorda,Khorda,10,100
Khorda,Tangii,15,150
#Total,10,130,1300

# Annexure 2. Block-level deficiency of major and micronutrients and soil condition in Angul district.
Block,No of samples,"Acidic (%)","Neutral (%)","Alkaline (%)","Normal EC conditions (%)","OC (%)","P (%)","K (%)","Ca (%)","Mg (%)","S (%)","Zn (%)","B (%)","Fe (%)","Cu (%)","Mn (%)"
Angul,150,51,29,21,100,42,45,7,0,11,46,62,76,3,0,7
Athmallik,130,47,31,22,100,37,42,9,5,24,28,55,70,2,0,2
Banarpal,90,44,30,26,100,39,39,1,0,9,13,56,73,3,1,16
Chhendipada,100,60,22,18,100,33,43,13,9,34,24,82,70,11,7,23
Kaniha,150,93,5,1,100,34,49,25,11,35,33,76,80,1,2,17
Kishornagar,150,80,15,5,100,27,65,12,9,25,34,72,95,4,12,4
Pallahara,150,93,6,1,100,33,60,7,9,26,69,47,95,0,1,1
Talcher,100,65,33,2,100,24,37,12,4,23,33,37,69,1,0,3

# Annexure 3. Block-level deficiency of major and micronutrients and soil condition in Baleswar district.
Block,No of samples,"Acidic (%)","Neutral (%)","Alkaline (%)","Normal EC conditions (%)","OC (%)","P (%)","K (%)","Ca (%)","Mg (%)","S (%)","Zn (%)","B (%)","Fe (%)","Cu (%)","Mn (%)"
Bahanaga,100,100,0,0,100,65,55,77,10,44,55,72,91,0,0,1
Baleswar Sadar,150,98,2,0,99,52,60,51,17,30,44,33,61,2,1,4
Baliapal,150,55,43,1,99,42,23,31,7,23,20,44,32,19,6,9
Basta,100,70,29,1,99,13,28,12,7,9,12,49,15,3,0,3
Bhograi,160,79,17,4,100,51,44,43,29,35,19,34,39,1,6,19
Jaleswar,150,85,15,0,100,44,27,18,5,9,41,10,49,7,0,0
Khaira,200,93,7,1,100,71,55,61,5,47,48,43,90,3,2,2
Nilagiri,100,96,4,0,100,53,70,46,10,27,40,32,98,1,3,2
Oupada,100,90,10,0,100,44,53,46,18,37,53,35,90,1,10,0
Remuna,140,89,11,0,99,59,56,63,16,34,38,46,85,2,0,6
Simulia,100,87,4,9,100,75,62,51,3,27,38,75,93,9,8,11
Soro,100,90,9,1,98,73,69,65,6,50,44,46,93,4,3,11

# Annexure 4. Block-level deficiency of major and micronutrients and soil condition in Bargarh district.
Block,No of samples,"Acidic (%)","Neutral (%)","Alkaline (%)","Normal EC conditions (%)","OC (%)","P (%)","K (%)","Ca (%)","Mg (%)","S (%)","Zn (%)","B (%)","Fe (%)","Cu (%)","Mn (%)"
Ambabhona,160,85,15,0,100,23,17,15,3,33,23,34,79,0,0,0
Atabira,150,94,5,1,100,37,23,51,5,45,21,53,97,0,1,4
Bargarh,90,74,12,13,100,37,21,41,6,68,21,37,96,1,7,4
Barpali,100,85,14,1,99,34,33,39,5,33,28,60,94,2,4,2
Bhatli,100,96,4,0,100,51,15,46,22,23,45,98,0,6,1
Bheden,100,88,12,0,98,49,31,46,8,44,29,52,88,1,1,4
Bijepur,150,88,10,2,100,39,44,18,12,46,23,49,86,1,2,3
Gaisilat,100,59,27,14,100,34,42,12,6,17,22,58,85,2,1,1
Jharabandha,100,53,29,17,100,28,53,14,3,12,31,64,92,4,2,1
Padampur,200,74,20,6,100,32,47,14,7,23,36,64,91,2,6,3
Paikamal,150,74,19,7,100,30,62,9,2,20,49,51,89,3,1,1
Sohela,150,77,18,5,100,47,42,27,13,46,31,69,92,1,3,4

# Annexure 5. Block-level deficiency of major and micronutrients and soil condition in Bhadrak district.
Block,No of samples,"Acidic (%)","Neutral (%)","Alkaline (%)","Normal EC conditions (%)","OC (%)","P (%)","K (%)","Ca (%)","Mg (%)","S (%)","Zn (%)","B (%)","Fe (%)","Cu (%)","Mn (%)"
Basudevpur,150,91,9,0,99,39,15,43,6,13,29,52,50,0,1,3
Bhandaripokhari,120,98,2,0,100,66,55,20,0,0,80,58,78,1,0,0
Bhadrak,100,76,15,9,99,37,38,31,5,11,59,35,83,4,0,4
Bonth,150,90,10,0,100,46,59,25,0,1,77,35,70,0,0,0
Chandabali,150,98,1,1,97,19,45,4,0,0,13,36,6,0,0,0
Dhamanagar,120,100,0,0,100,38,40,32,0,0,60,33,84,0,0,0
Tihidi,120,98,2,0,100,43,38,19,0,0,33,15,47,0,0,0

# Annexure 28. Block-level deficiency of major and micronutrients and soil condition in Rayagada district.
Block,No of samples,"Acidic (%)","Neutral (%)","Alkaline (%)","EC* conditions (%)",OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn
Bissamcuttack,130,90,8,2,100,42,42,3,8,46,51,25,64,1,2,1
Chandrapur,100,91,8,1,100,37,53,12,3,21,54,36,91,0,1,1
Gudari,100,72,21,7,100,47,34,8,6,24,44,50,72,7,4,2
Kalyansingpur,130,91,8,2,100,55,15,5,4,38,54,19,85,2,2,0
Kolnara,100,94,4,2,100,68,8,2,7,30,32,16,89,0,0,0
Muniguda,200,89,11,1,100,62,18,6,10,41,50,22,86,1,7,0
Padmapur,100,49,38,13,100,80,21,2,5,23,44,59,77,18,1,2
Rayagada,180,74,21,6,100,35,14,0,9,32,32,15,62,4,1,3
Kashipur,200,100,0,0,100,42,62,8,5,28,99,71,57,8,1,0
Gunpur,200,81,18,2,100,57,53,13,3,26,62,50,73,4,2,4

# Annexure 29. Block-level deficiency of major and micronutrients and soil condition in Sambalpur district.
Block,No of samples,"Acidic (%)","Neutral (%)","Alkaline (%)","EC* conditions (%)",OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn
Bamara,150,87,9,3,97,57,56,15,12,30,40,41,84,7,3,3
Dhankauda,100,99,1,0,100,33,44,48,20,59,27,31,96,1,1,9
Jamankira,250,94,4,2,98,42,62,14,10,29,48,45,96,3,2,1
Jujumura,100,84,2,14,100,35,59,17,8,40,43,46,89,7,0,12
Kuchinda,100,92,7,1,100,53,32,9,17,48,61,58,91,2,1,3
Maneswara,100,87,9,4,100,48,43,9,2,17,36,56,98,0,1,1
Naktideula,150,90,7,3,100,25,53,23,19,34,47,31,93,0,0,1
Rairakhole,150,76,17,7,100,17,61,15,9,26,41,25,95,3,1,1
Rengali,93,70,6,1,100,56,56,26,20,49,60,39,84,0,3,1

# Annexure 30. Block-level deficiency of major and micronutrients and soil condition in Subarnapur district.
Block,No of samples,"Acidic (%)","Neutral (%)","Alkaline (%)","EC* conditions (%)",OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn
Binka,90,97,2,1,100,52,57,43,14,48,17,28,99,0,12,0
Birmaharajpur,130,67,22,11,100,33,56,16,1,16,28,63,85,5,0,3
Dunguripali,100,74,19,7,100,22,56,40,3,39,6,45,93,2,0,3
Subarnapur,120,68,24,8,100,40,50,25,8,34,34,72,92,1,2,2
Tarbha,140,38,37,25,100,36,74,16,1,4,28,88,95,2,1,7
Ullunda,200,73,21,7,100,34,47,15,8,24,27,69,84,1,1,5

# Annexure 31. Block-level deficiency of major and micronutrients and soil condition in Sundargarh district.
Block,No of samples,"Acidic (%)","Neutral (%)","Alkaline (%)","EC* conditions (%)",OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn
Badagaon,100,98,2,0,70,61,53,18,15,34,55,61,98,0,4,1
Balisankara,100,79,14,7,100,46,57,9,8,43,39,51,90,2,6,4
Bonigarh,100,100,0,0,100,38,72,17,9,21,35,20,86,0,0,0
Birsa,300,92,7,0,100,53,81,25,8,25,50,38,96,0,1,2
Hemgir,240,95,5,0,100,38,79,27,21,48,55,43,97,0,3,2
Koira,10,100,0,0,100,10,70,20,60,60,70,60,70,60,0,0
Kuarmunda,250,97,3,0,100,70,90,17,41,65,41,62,98,4,31,0
Kutra,190,97,3,0,100,35,72,11,19,44,44,34,97,3,4,0
Gurundia,10,90,10,0,100,90,90,0,10,90,90,90,100,10,0,0
Lahunipara,200,100,0,0,100,25,83,16,5,31,77,20,99,0,0,0
Lathikata,100,92,7,1,100,40,80,17,15,39,41,40,95,0,1,2
Lephripara,130,90,6,2,100,51,65,16,2,20,28,38,98,0,1,2
Rajgangpur,100,87,12,1,100,54,81,14,5,29,28,40,93,2,3,3
Subdega,100,98,1,1,100,61,63,14,10,28,50,45,97,1,3,1
Sadar,100,100,0,0,100,65,57,32,13,43,37,39,96,0,1,0
Tangarpalli,100,97,3,0,100,41,57,20,5,24,16,19,90,1,0,1
