"State","District","Crop","Season","Yield-2015-16","Yield-2016-17","Yield-2017-18"
"Odisha","Anugul","Rice","Kharif","1000.00","1412.00","926.00"
"Odisha","Anugul","Rice","Rabi","761.00","2426.00","1407.00"
"Odisha","Anugul","Rice","Summer","","2417.00","2500.00"
"Odisha","Anugul","Rice","Total","797.00","2340.00","1358.00"
"Odisha","Anugul","Maize","Kharif","1161.00","1173.00","1285.00"
"Odisha","Anugul","Maize","Rabi","","1667.00","1892.00"
"Odisha","Anugul","Maize","Summer","1540.00","1837.00","1819.00"
"Odisha","Anugul","Maize","Total","1169.00","1203.00","1324.00"
"Odisha","Anugul","Ragi","Kharif","700.00","700.00",""
"Odisha","Anugul","Ragi","Total","700.00","700.00",""
"Odisha","Anugul","Shree Anna /Nutri Cereals","Kharif","700.00","700.00",""
"Odisha","Anugul","Shree Anna /Nutri Cereals","Total","700.00","700.00",""
"Odisha","Anugul","Nutri/Coarse Cereals","Kharif","1160.00","1168.00","1285.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Rabi","","1667.00","1892.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Summer","1540.00","1837.00","1819.00"
"Odisha","Anugul","Nutri/Coarse Cereals","Total","1168.00","1198.00","1324.00"
"Odisha","Anugul","Cereals","Kharif","1006.00","1395.00","940.00"
"Odisha","Anugul","Cereals","Rabi","761.00","2426.00","1407.00"
"Odisha","Anugul","Cereals","Summer","1540.00","2374.00","2406.00"
"Odisha","Anugul","Cereals","Total","800.00","2332.00","1358.00"
"Odisha","Anugul","Urad","Kharif","325.00","357.00","392.00"
"Odisha","Anugul","Urad","Rabi","312.00","415.00","398.00"
"Odisha","Anugul","Urad","Summer","422.00","504.00","500.00"
"Odisha","Anugul","Urad","Total","330.00","388.00","395.00"
"Odisha","Anugul","Moong","Kharif","259.00","302.00","320.00"
"Odisha","Anugul","Moong","Rabi","274.00","341.00","342.00"
"Odisha","Anugul","Moong","Summer","330.00","431.00","394.00"
"Odisha","Anugul","Moong","Total","292.00","342.00","336.00"
"Odisha","Anugul","Other Pulses","Rabi","341.00","407.00","402.00"
"Odisha","Anugul","Other Pulses","Total","341.00","407.00","402.00"
"Odisha","Anugul","Total Pulses","Total","319.00","376.00","374.00"
"Odisha","Anugul","Total Food Grains","Kharif","908.00","1136.00","799.00"
"Odisha","Anugul","Total Food Grains","Rabi","746.00","2330.00","1365.00"
"Odisha","Anugul","Total Food Grains","Summer","359.00","1128.00","989.00"
"Odisha","Anugul","Total Food Grains","Total","769.00","2186.00","1288.00"
"Odisha","Balangir","Rice","Kharif","662.00","1270.00","436.00"
"Odisha","Balangir","Rice","Rabi","1103.00","2826.00","962.00"
"Odisha","Balangir","Rice","Summer","3000.00","2746.00","2485.00"
"Odisha","Balangir","Rice","Total","943.00","2209.00","791.00"
"Odisha","Balangir","Wheat","Summer","","","5000.00"
"Odisha","Balangir","Wheat","Total","","","5000.00"
"Odisha","Balangir","Maize","Kharif","938.00","1492.00","2121.00"
"Odisha","Balangir","Maize","Rabi","1650.00","1634.00","1900.00"
"Odisha","Balangir","Maize","Summer","2500.00","1600.00",""
"Odisha","Balangir","Maize","Total","940.00","1504.00","2116.00"
"Odisha","Balangir","Ragi","Kharif","","284.00",""
"Odisha","Balangir","Ragi","Total","","284.00",""
"Odisha","Balangir","Shree Anna /Nutri Cereals","Kharif","","284.00",""
"Odisha","Balangir","Shree Anna /Nutri Cereals","Total","","284.00",""
"Odisha","Balangir","Nutri/Coarse Cereals","Kharif","938.00","1301.00","2121.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Rabi","1650.00","1634.00","1900.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Summer","2500.00","1600.00",""
"Odisha","Balangir","Nutri/Coarse Cereals","Total","940.00","1323.00","2116.00"
"Odisha","Balangir","Cereals","Kharif","668.00","1271.00","452.00"
"Odisha","Balangir","Cereals","Rabi","1103.00","2824.00","962.00"
"Odisha","Balangir","Cereals","Summer","3000.00","2744.00","2491.00"
"Odisha","Balangir","Cereals","Total","943.00","2196.00","796.00"
"Odisha","Balangir","Urad","Kharif","218.00","417.00","311.00"
"Odisha","Balangir","Urad","Rabi","307.00","411.00","356.00"
"Odisha","Balangir","Urad","Summer","400.00","462.00","360.00"
"Odisha","Balangir","Urad","Total","226.00","416.00","334.00"
"Odisha","Balangir","Moong","Kharif","208.00","425.00","320.00"
"Odisha","Balangir","Moong","Rabi","265.00","435.00","367.00"
"Odisha","Balangir","Moong","Summer","323.00","378.00","353.00"
"Odisha","Balangir","Moong","Total","240.00","427.00","350.00"
"Odisha","Balangir","Other Pulses","Rabi","263.00","472.00","329.00"
"Odisha","Balangir","Other Pulses","Total","263.00","472.00","329.00"
"Odisha","Balangir","Total Pulses","Total","242.00","429.00","343.00"
"Odisha","Balangir","Total Food Grains","Kharif","609.00","1141.00","444.00"
"Odisha","Balangir","Total Food Grains","Rabi","1045.00","2592.00","931.00"
"Odisha","Balangir","Total Food Grains","Summer","1513.00","1844.00","1183.00"
"Odisha","Balangir","Total Food Grains","Total","873.00","1975.00","767.00"
"Odisha","Baleshwar","Rice","Kharif","","","1000.00"
"Odisha","Baleshwar","Rice","Rabi","1474.00","2720.00","2175.00"
"Odisha","Baleshwar","Rice","Summer","3207.00","3190.00","3408.00"
"Odisha","Baleshwar","Rice","Total","1701.00","2785.00","2329.00"
"Odisha","Baleshwar","Wheat","Summer","667.00","",""
"Odisha","Baleshwar","Wheat","Total","667.00","",""
"Odisha","Baleshwar","Maize","Summer","100.00","1525.00",""
"Odisha","Baleshwar","Maize","Total","100.00","1525.00",""
"Odisha","Baleshwar","Nutri/Coarse Cereals","Summer","100.00","1525.00",""
"Odisha","Baleshwar","Nutri/Coarse Cereals","Total","100.00","1525.00",""
"Odisha","Baleshwar","Cereals","Kharif","","","1000.00"
"Odisha","Baleshwar","Cereals","Rabi","1474.00","2720.00","2175.00"
"Odisha","Baleshwar","Cereals","Summer","3206.00","3189.00","3408.00"
"Odisha","Baleshwar","Cereals","Total","1701.00","2785.00","2329.00"
"Odisha","Baleshwar","Urad","Kharif","","400.00","400.00"
"Odisha","Baleshwar","Urad","Rabi","389.00","192.00",""
"Odisha","Baleshwar","Urad","Summer","514.00","348.00","535.00"
"Odisha","Baleshwar","Urad","Total","503.00","347.00","535.00"
"Odisha","Baleshwar","Moong","Rabi","","400.00",""
"Odisha","Baleshwar","Moong","Summer","497.00","412.00","522.00"
"Odisha","Baleshwar","Moong","Total","497.00","412.00","522.00"
"Odisha","Baleshwar","Other Pulses","Rabi","2000.00","",""
"Odisha","Baleshwar","Other Pulses","Total","2000.00","",""
"Odisha","Baleshwar","Total Pulses","Total","499.00","385.00","526.00"
"Odisha","Baleshwar","Total Food Grains","Kharif","","400.00","945.00"
"Odisha","Baleshwar","Total Food Grains","Rabi","1473.00","2720.00","2175.00"
"Odisha","Baleshwar","Total Food Grains","Summer","2833.00","2739.00","3106.00"
"Odisha","Baleshwar","Total Food Grains","Total","1676.00","2723.00","2303.00"
"Odisha","Bargarh","Rice","Kharif","387.00","697.00","171.00"
"Odisha","Bargarh","Rice","Rabi","1552.00","2248.00","536.00"
"Odisha","Bargarh","Rice","Summer","4123.00","4409.00","3246.00"
"Odisha","Bargarh","Rice","Total","1928.00","2437.00","1049.00"
"Odisha","Bargarh","Wheat","Summer","2122.00","660.00","2411.00"
"Odisha","Bargarh","Wheat","Total","2122.00","660.00","2411.00"
"Odisha","Bargarh","Maize","Kharif","1388.00","1385.00","1405.00"
"Odisha","Bargarh","Maize","Rabi","4400.00","",""
"Odisha","Bargarh","Maize","Summer","2250.00","440.00","1950.00"
"Odisha","Bargarh","Maize","Total","1438.00","1374.00","1411.00"
"Odisha","Bargarh","Ragi","Kharif","","600.00",""
