"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"701","1958","8","Orissa","Balasore","29.1","30.13","35.41","37.15","36.84","36.15","31.67","31.23","31.58","31.0","29.02","27.63"
"701","1959","8","Orissa","Balasore","27.23","29.38","33.89","36.32","36.32","33.62","30.93","30.97","30.34","29.23","28.02","26.54"
"701","1960","8","Orissa","Balasore","26.95","32.22","32.53","37.87","36.41","34.5","30.35","31.2","30.64","30.56","27.99","27.73"
"701","1961","8","Orissa","Balasore","27.4","27.25","34.12","37.09","36.05","32.99","30.97","31.23","30.78","30.4","27.72","25.52"
"701","1962","8","Orissa","Balasore","26.42","30.01","35.07","35.98","35.56","33.41","32.1","31.05","31.48","29.77","28.7","27.05"
"701","1963","8","Orissa","Balasore","27.02","32.24","34.47","35.59","34.69","33.32","31.15","31.51","31.8","30.48","29.08","27.46"
"701","1964","8","Orissa","Balasore","27.11","30.67","35.41","35.44","35.68","34.17","30.09","31.21","31.4","29.87","28.45","27.47"
"701","1965","8","Orissa","Balasore","27.52","30.0","33.21","35.49","36.37","34.52","31.04","30.5","31.1","30.37","29.52","26.2"
"701","1966","8","Orissa","Balasore","26.58","31.85","34.53","37.22","37.45","33.72","32.0","31.26","30.94","29.8","28.87","26.15"
"701","1967","8","Orissa","Balasore","26.52","31.16","31.89","35.29","36.11","34.84","31.62","30.9","30.65","30.32","28.44","27.64"
"701","1968","8","Orissa","Balasore","26.78","29.25","34.0","35.64","36.66","31.87","30.65","31.26","32.12","29.83","28.48","27.62"
"701","1969","8","Orissa","Balasore","27.05","30.93","34.61","36.42","36.11","34.04","31.05","30.3","31.0","30.23","29.2","27.03"
"701","1970","8","Orissa","Balasore","26.45","30.09","33.1","36.29","36.78","33.06","31.15","31.16","30.48","29.73","28.29","26.72"
"701","1971","8","Orissa","Balasore","26.13","28.74","33.68","32.96","34.04","31.75","31.15","29.63","31.19","29.79","27.54","27.04"
"701","1972","8","Orissa","Balasore","27.08","27.22","33.83","35.83","37.26","35.31","31.98","30.57","32.01","30.69","28.98","27.75"
"701","1973","8","Orissa","Balasore","28.05","31.2","32.94","36.73","34.37","33.32","31.3","31.08","30.52","29.86","27.37","25.53"
"701","1974","8","Orissa","Balasore","26.07","29.61","33.07","34.7","35.12","34.12","30.37","31.12","30.97","30.8","28.9","25.54"
"701","1975","8","Orissa","Balasore","26.55","29.74","34.62","36.59","36.23","33.8","30.24","31.05","30.57","30.52","27.65","26.18"
"701","1976","8","Orissa","Balasore","27.11","30.07","33.88","36.21","35.2","34.05","31.53","30.7","31.31","31.25","29.95","27.13"
"701","1977","8","Orissa","Balasore","26.83","29.95","34.83","34.31","33.73","32.66","30.77","31.38","31.47","30.02","28.57","25.96"
"701","1978","8","Orissa","Balasore","25.75","28.97","32.97","35.33","35.28","32.98","31.16","31.34","30.57","30.51","29.75","27.06"
"701","1979","8","Orissa","Balasore","27.58","28.31","33.68","36.12","37.79","34.71","32.11","31.23","31.64","31.18","30.44","26.45"
"701","1980","8","Orissa","Balasore","26.64","29.2","32.9","36.86","35.39","33.26","30.96","31.36","31.36","30.1","29.07","26.94"
"701","1981","8","Orissa","Balasore","25.73","28.89","31.77","32.62","33.7","33.8","30.57","31.55","30.97","31.47","29.45","25.45"
"701","1982","8","Orissa","Balasore","27.57","28.52","31.3","34.84","37.41","33.79","32.45","30.6","31.9","31.46","28.2","26.64"
"701","1983","8","Orissa","Balasore","26.19","28.14","32.52","35.26","35.3","35.22","32.07","31.15","31.18","30.11","29.45","26.32"
"701","1984","8","Orissa","Balasore","25.97","28.06","34.67","36.42","35.41","32.1","30.91","31.15","31.13","31.05","29.21","27.15"
"701","1985","8","Orissa","Balasore","26.93","29.81","34.59","36.73","35.4","34.28","30.52","31.55","31.09","30.98","29.43","28.21"
"701","1986","8","Orissa","Balasore","27.03","30.17","34.85","35.65","35.38","34.49","31.09","32.11","30.97","30.18","28.61","27.03"
"701","1987","8","Orissa","Balasore","27.25","30.65","33.51","35.52","36.37","35.39","31.31","31.52","31.64","31.8","29.39","27.72"
"701","1988","8","Orissa","Balasore","27.59","30.57","33.27","36.38","35.17","32.83","31.3","31.38","32.11","31.16","29.52","27.77"
"701","1989","8","Orissa","Balasore","26.05","29.93","33.8","37.24","36.46","33.43","31.43","31.7","31.32","30.45","29.37","26.69"
"701","1990","8","Orissa","Balasore","27.11","29.19","31.06","34.12","34.57","33.59","30.66","31.58","31.51","29.49","29.51","27.29"
"701","1991","8","Orissa","Balasore","25.48","31.06","33.79","35.34","35.24","32.98","31.79","31.37","31.23","30.12","28.22","25.95"
"701","1992","8","Orissa","Balasore","25.11","27.53","33.62","37.14","35.23","34.23","31.39","31.26","31.29","30.54","29.01","26.14"
"701","1993","8","Orissa","Balasore","26.44","30.02","32.48","34.31","34.49","33.52","31.68","30.8","30.87","30.7","28.74","26.9"
"701","1994","8","Orissa","Balasore","27.0","27.86","33.7","35.37","36.19","33.26","31.11","31.01","31.92","31.14","28.23","26.85"
"701","1995","8","Orissa","Balasore","25.55","29.68","33.7","36.96","35.83","34.53","31.5","31.81","31.06","30.79","28.38","26.87"
"701","1996","8","Orissa","Balasore","26.74","29.95","34.24","35.99","36.72","33.72","31.96","30.94","31.23","30.94","29.91","27.3"
"701","1997","8","Orissa","Balasore","26.28","28.48","33.31","33.59","36.07","34.87","31.68","31.45","31.29","30.98","29.81","25.94"
"701","1998","8","Orissa","Balasore","25.26","29.37","32.4","34.87","36.22","35.84","31.93","31.01","32.13","32.09","29.15","27.27"
"701","1999","8","Orissa","Balasore","27.26","31.44","35.11","37.16","35.26","34.01","31.85","30.76","31.13","31.03","29.67","27.63"
"701","2000","8","Orissa","Balasore","26.7","27.83","32.64","35.51","35.0","33.73","31.87","31.85","31.2","30.9","29.52","26.93"
"701","2001","8","Orissa","Balasore","27.65","31.13","34.23","35.65","35.58","32.68","31.27","31.12","31.91","31.07","30.48","27.57"
"701","2002","8","Orissa","Balasore","27.03","30.65","34.49","35.59","35.98","33.86","31.05","30.88","31.24","31.26","29.78","27.88"
"701","2003","8","Orissa","Balasore","27.01","30.43","32.65","36.35","35.99","34.3","31.37","31.8","31.57","31.06","29.44","25.75"
"701","2004","8","Orissa","Balasore","26.37","29.8","35.23","35.53","36.15","33.06","31.0","31.34","31.97","30.23","28.76","28.4"
"701","2005","8","Orissa","Balasore","26.79","30.69","34.53","35.94","35.66","35.05","30.79","31.3","31.8","29.55","29.13","27.59"
"701","2006","8","Orissa","Balasore","28.71","33.19","34.24","35.16","35.27","33.64","31.36","31.08","31.8","30.99","28.88","28.4"
"701","2007","8","Orissa","Balasore","27.82","29.33","33.47","36.3","35.78","34.05","30.94","31.52","31.37","30.96","29.7","27.95"
"701","2008","8","Orissa","Balasore","27.22","28.64","34.27","35.55","35.45","32.08","30.57","30.78","31.35","31.09","29.84","28.28"
"701","2009","8","Orissa","Balasore","29.29","32.1","34.8","37.49","35.58","34.84","31.6","31.48","32.04","30.88","30.57","27.6"
"701","2010","8","Orissa","Balasore","26.87","31.79","35.8","37.92","35.88","33.89","31.58","31.48","31.31","30.95","30.44","26.89"
"701","2011","8","Orissa","Balasore","26.64","31.33","33.84","34.91","35.26","33.38","31.11","31.12","31.3","31.31","29.3","27.57"
"701","2012","8","Orissa","Balasore","25.23","29.29","34.7","34.75","36.45","34.64","31.05","31.17","31.03","30.5","29.56","27.57"
"701","2013","8","Orissa","Balasore","26.78","29.37","33.9","35.16","34.26","33.93","31.77","31.13","31.51","29.33","28.36","25.56"
"701","2014","8","Orissa","Balasore","24.41","27.71","32.82","37.01","36.53","34.22","31.73","31.41","31.49","30.72","28.28","25.53"
"701","2015","8","Orissa","Balasore","25.17","28.84","32.9","33.97","36.27","34.09","31.32","31.6","31.89","30.93","29.19","26.55"
"701","2016","8","Orissa","Balasore","24.75","30.02","33.52","36.24","35.44","34.6","31.36","31.87","31.58","30.92","28.08","26.51"
"701","2017","8","Orissa","Balasore","26.21","29.71","31.34","34.37","36.32","34.39","31.13","31.63","31.83","30.3","29.19","26.78"
"701","2018","8","Orissa","Balasore","25.36","29.66","33.64","34.4","34.56","34.48","31.57","31.85","32.05","29.75","28.66","25.82"
"701","2019","8","Orissa","Balasore","25.68","29.27","32.79","35.49","36.1","34.99","32.58","31.95","31.71","31.18","29.62","27.0"
"701","2020","8","Orissa","Balasore","26.36","27.87","33.05","34.95","34.59","33.7","32.5","32.21","32.86","31.95","30.38","27.73"
"701","2021","8","Orissa","Balasore","28.02","30.04","35.31","36.1","34.75","33.64","32.1","32.32","31.57","32.03","29.87","27.15"
"701","2022","8","Orissa","Balasore","25.92","28.58","34.16","36.54","35.4","34.52","31.83","31.8","32.28","31.25","29.48","28.25"
"701","2023","8","Orissa","Balasore","27.84","30.91","33.46","36.02","35.72","35.47","32.37","32.22","32.26","32.01","30.51","27.6"
"702","1958","8","Orissa","Bolangir","29.98","31.87","37.18","40.08","42.01","39.75","30.46","30.43","30.83","30.82","29.32","28.14"
"702","1959","8","Orissa","Bolangir","28.88","31.75","36.36","39.38","41.83","36.54","29.91","29.58","30.12","30.3","28.67","27.4"
"702","1960","8","Orissa","Bolangir","28.84","32.86","34.68","39.97","41.36","37.3","29.93","30.08","30.38","30.84","28.8","28.95"
"702","1961","8","Orissa","Bolangir","29.14","29.54","35.86","39.94","41.41","35.74","29.75","30.07","29.89","30.49","28.08","26.87"
"702","1962","8","Orissa","Bolangir","27.78","30.88","36.45","38.58","40.87","36.59","30.81","30.06","30.44","30.2","29.07","28.15"
"702","1963","8","Orissa","Bolangir","28.03","32.51","35.88","38.1","40.56","36.07","30.1","30.11","31.08","31.18","29.82","27.92"
"702","1964","8","Orissa","Bolangir","29.03","31.89","36.91","39.52","41.5","36.77","29.76","29.61","30.37","30.58","28.26","27.73"
"702","1965","8","Orissa","Bolangir","28.84","31.8","35.65","38.27","41.53","38.2","30.73","30.77","30.68","31.55","29.98","27.61"
"702","1966","8","Orissa","Bolangir","28.34","33.07","36.71","40.11","42.49","37.05","31.9","30.74","31.18","31.76","30.04","27.37"
"702","1967","8","Orissa","Bolangir","27.91","32.76","33.83","39.24","42.0","38.13","30.96","29.82","30.39","31.37","29.8","28.93"
"702","1968","8","Orissa","Bolangir","28.09","31.36","35.32","38.02","41.45","36.2","30.3","30.62","31.27","30.59","28.82","28.47"
"702","1969","8","Orissa","Bolangir","29.12","32.72","37.03","40.05","40.55","37.2","30.03","29.89","30.23","31.12","30.09","27.61"
"702","1970","8","Orissa","Bolangir","28.35","32.13","34.89","39.22","41.95","34.98","30.54","29.93","30.02","30.65","28.22","27.0"
